"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES","WT09","WT09_ATTRIBUTES"
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-11","6.49",",,W",,,"0.12",",,W,2400","2.1",",,W","3.9",",,W","7","H,,S","10",",,W","4",",,W","  320",",,W","  350",",,W","14.1",",,W","21.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-12","11.86",",,W",,,"0.00",",,W,2400","0.0",",,W","3.9",",,W","7","H,,S","14",",,W","-6",",,W","  300",",,W","  280",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-13","5.37",",,W",,,"0.00",",,W,2400","0.0",",,W","3.9",",,W","-2","H,,S","9",",,W","-7",",,W","  150",",,W","  320",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-14","4.70",",,W",,,"0.00",",,W,2400","0.0",",,W","3.1",",,W","11","H,,S","24",",,W","4",",,W","  270",",,W","  280",",,W","10.1",",,W","13.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-15","3.58",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","14","H,,S","34",",,W","1",",,W","  230",",,W","  210",",,W","10.1",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-16","5.59",",,W",,,"0.12",",,W,2400","0.0","T,,W","2.0",",,W","22","H,,S","32",",,W","14",",,W","  360",",,W","   50",",,W","12.1",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W","    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-17","7.61",",,W",,,"0.11",",,W,2400","0.6",",,W","2.0",",,W","31","H,,S","35",",,W","29",",,W","  230",",,W","  350",",,W","14.1",",,W","21.0",",,W","    1",",,W",,,,,"    1",",,W",,,"    1",",,W","    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-18","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","33","H,,S","41",",,W","25",",,W","  230",",,W","  210",",,W","14.1",",,W","21.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-19","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","34","H,,S","37",",,W","29",",,W","  160",",,W","  160",",,W","14.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-20","7.83",",,W",,,"0.09",",,W,2400","0.0",",,W","1.2",",,W","36","H,,S","37",",,W","34",",,W","  150",",,W","  110",",,W","12.1",",,W","15.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-21","4.03",",,W",,,"0.01",",,W,2400","0.0",",,W","1.2",",,W","36","H,,S","38",",,W","35",",,W","  100",",,W","  110",",,W","10.1",",,W","16.1",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-22","6.49",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0","T,,W","37","H,,S","40",",,W","34",",,W","  270",",,W","   20",",,W","12.1",",,W","19.0",",,W","    1",",,W","    1",",,W",,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-23","4.25",",,W",,,"0.00","T,,W,2400","0.0","T,,W","0.0","T,,W","35","H,,S","35",",,W","33",",,W","  330",",,W","  270",",,W","8.9",",,W","14.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-24","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","32","H,,S","34",",,W","32",",,W","   70",",,W","   60",",,W","15.0",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-25","13.87",",,W",,,"0.09",",,W,2400","2.2",",,W","1.2",",,W","31","H,,S","32",",,W","29",",,W","  340",",,W","  360",",,W","21.0",",,W","25.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-26","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","29","H,,S","30",",,W","23",",,W","  310",",,W","  340",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-27","10.07",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","24","H,,S","31",",,W","17",",,W","  270",",,W","  280",",,W","16.1",",,W","19.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-28","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","26","H,,S","28",",,W","23",",,W","  330",",,W","  330",",,W","21.0",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-29","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W","1.2",",,W","26","H,,S","29",",,W","18",",,W","  330",",,W","  330",",,W","21.0",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-30","10.51",",,W",,,"0.10",",,W,2400","0.6",",,W","1.2",",,W","26","H,,S","42",",,W","15",",,W","  310",",,W","  330",",,W","25.1",",,W","32.0",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-01-31","12.75",",,W",,,"0.02",",,W,2400","0.0","T,,W","0.0","T,,W","36","H,,S","38",",,W","30",",,W","  310",",,W","  300",",,W","23.0",",,W","33.1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-01","15.21",",,W",,,"0.00","T,,W,2400","0.3",",,W","0.0","T,,W","23","H,,S","30",",,W","12",",,W","  320",",,W","  320",",,W","23.9",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-02","12.75",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","13","H,,S","17",",,W","8",",,W","  280",",,W","  280",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-03","7.83",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","13","H,,S","24",",,W","7",",,W","  280",",,W","  260",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-04","9.84",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","23","H,,S","35",",,W","13",",,W","  180",",,W","  210",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-05","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","27","H,,S","32",",,W","18",",,W","  320",",,W","  320",",,W","23.9",",,W","30.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-06","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","24","H,,S","33",",,W","18",",,W","   60",",,W","   50",",,W","14.1",",,W","18.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-07","12.75",",,W",,,"0.01",",,W,2400","0.0","T,,W","0.0","T,,W","27","H,,S","32",",,W","12",",,W","  320",",,W","  320",",,W","23.0",",,W","31.1",",,W","    1",",,W",,,,,,,,,"    1",",,W","    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-08","13.42",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","10","H,,S","14",",,W","1",",,W","  300",",,W","  320",",,W","21.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-09","9.17",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","10","H,,S","21",",,W","3",",,W","  180",",,W","  300",",,W","17.0",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-10","9.84",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","27","H,,S","46",",,W","20",",,W","  170",",,W","  160",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-11","4.03",",,W",,,"0.02",",,W,2400","0.0",",,W","0.0",",,W","41","H,,S","43",",,W","36",",,W","   10",",,W","   20",",,W","12.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-12","13.65",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","37","H,,S","40",",,W","29",",,W","  320",",,W","  310",",,W","29.1",",,W","40.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-13","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","36","H,,S","48",",,W","28",",,W","  250",",,W","  230",",,W","19.9",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-14","14.99",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","38","H,,S","43",",,W","26",",,W","  320",",,W","  320",",,W","30.0",",,W","40.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-15","7.61",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","28","H,,S","36",",,W","19",",,W","  350",",,W","  360",",,W","18.1",",,W","23.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-16","10.51",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","33","H,,S","42",",,W","27",",,W","  170",",,W","  140",",,W","16.1",",,W","21.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-17","8.28",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","41","H,,S","63",",,W","30",",,W","  280",",,W","  280",",,W","17.0",",,W","25.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-18","4.47",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","47","H,,S","58",",,W","34",",,W","  270",",,W","  280",",,W","13.0",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-19","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","45","H,,S","59",",,W","32",",,W","  140",",,W","  130",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-20","11.41",",,W",,,"0.61",",,W,2400","0.0",",,W","0.0",",,W","51","H,,S","55",",,W","41",",,W","  290",",,W","  280",",,W","25.9",",,W","35.1",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-21","6.49",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","46","H,,S","62",",,W","32",",,W","  210",",,W","  210",",,W","21.9",",,W","31.1",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-22","6.71",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","48","H,,S","59",",,W","37",",,W","  330",",,W","  330",",,W","21.9",",,W","29.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-23","13.87",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","37","H,,S","39",",,W","29",",,W","   30",",,W","   30",",,W","21.9",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-24","18.79",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","27","H,,S","29",",,W","20",",,W","   20",",,W","  350",",,W","25.1",",,W","32.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-25","14.09",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","22","H,,S","34",",,W","14",",,W","  340",",,W","  340",",,W","25.9",",,W","33.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-26","9.62",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","29","H,,S","40",",,W","23",",,W","  290",",,W","  270",",,W","23.0",",,W","31.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-27","9.40",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","33","H,,S","44",",,W","22",",,W","  200",",,W","  220",",,W","18.1",",,W","27.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-02-28","10.51",",,W",,,"0.00","T,,W,2400","0.0",",,W","0.0",",,W","40","H,,S","47",",,W","32",",,W","   20",",,W","   30",",,W","21.9",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-01","14.99",",,W",,,"0.04",",,W,2400","0.8",",,W","1.2",",,W","32","H,,S","37",",,W","23",",,W","  320",",,W","  310",",,W","23.0",",,W","28.0",",,W","    1",",,W",,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-02","11.63",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","24","H,,S","31",",,W","17",",,W","  310",",,W","  320",",,W","23.0",",,W","29.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-03","9.17",",,W",,,"0.01",",,W,2400","0.2",",,W","0.0",",,W","21","H,,S","31",",,W","13",",,W","  140",",,W","  140",",,W","18.1",",,W","23.9",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-04","17.67",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0","T,,W","30","H,,S","43",",,W","26",",,W","  140",",,W","  140",",,W","30.0",",,W","36.9",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-05","12.97",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","43","H,,S","59",",,W","35",",,W","  140",",,W","  140",",,W","28.0",",,W","33.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-06","16.55",",,W",,,"0.09",",,W,2400","0.0",",,W","0.0",",,W","53","H,,S","65",",,W","39",",,W","  250",",,W","  270",",,W","25.1",",,W","33.1",",,W","    1",",,W",,,"    1",",,W",,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-07","24.61",",,W",,,"0.00","T,,W,2400","0.0","T,,W","0.0","T,,W","42","H,,S","49",",,W","29",",,W","  270",",,W","  270",",,W","38.0",",,W","52.1",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-08","21.92",",,W",,,"0.00","T,,W,2400","0.0","T,,W","0.0","T,,W","33","H,,S","36",",,W","24",",,W","  280",",,W","  280",",,W","40.9",",,W","59.9",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-09","11.18",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","27","H,,S","31",",,W","18",",,W","  330",",,W","  330",",,W","21.9",",,W","25.1",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-10","11.41",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","15","H,,S","19",",,W","5",",,W","  330",",,W","  340",",,W","21.0",",,W","28.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-11","7.38",",,W",,,"0.00",",,W,2400","0.0",",,W","0.0",",,W","13","H,,S","21",",,W","8",",,W","   20",",,W","   30",",,W","16.1",",,W","21.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-12","9.40",",,W",,,"0.24",",,W,2400","3.4",",,W","0.0",",,W","17","H,,S","23",",,W","13",",,W","  120",",,W","  130",",,W","18.1",",,W","23.0",",,W","    1",",,W","    1",",,W",,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-13","11.18",",,W",,,"0.01",",,W,2400","0.3",",,W","3.1",",,W","20","H,,S","27",",,W","14",",,W","   30",",,W","   40",",,W","17.0",",,W","27.1",",,W","    1",",,W",,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-14","5.82",",,W",,,"0.00",",,W,2400","0.0",",,W","3.1",",,W","19","H,,S","29",",,W","9",",,W","  310",",,W","   30",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,,"    1",",,W",,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-15","4.92",",,W",,,"0.00",",,W,2400","0.0",",,W","2.0",",,W","21","H,,S","32",",,W","12",",,W","  230",",,W","  220",",,W","14.1",",,W","17.0",",,W",,,,,,,,,,,,,,,,
"USW00014922","MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT, MN US","44.8831","-93.2289","265.8","2017-03-16","12.30",",,W",,,"0.00","T,,W,2400","0.0",",,W","2.0",",,W","28","H,,S","40",",,W","20",",,W","  140",",,W","  140",",,W","23.9",",,W","33.1",",,W",,,,,,,,,,,,,,,,
